phenotype,taxonomy rank level,NCBI taxon id,scientific name,super kingdom,Nr. runs in which the species/genus can be found,mean relative abundance,median relative abundance,SD of relative abundance,Unnamed: 9,phenotype_id,source_phenotype
D006262,species,167,Treponema succinifaciens,Bacteria,114,2.53623027571053,0.178985,5.27977955614314,,D006262,D006262
D006262,species,292,Burkholderia cepacia,Bacteria,121,1.18976886910744,0.0344293,2.82046764051171,,D006262,D006262
D015179,species,305,Ralstonia solanacearum,Bacteria,92,1.95807226554348,0.8339055,3.44929422532041,,D015179,D015179
D015179,species,548,[Enterobacter] aerogenes,Bacteria,15,6.43889586666667,0.105978,23.0588588319182,,D015179,D015179
D015212,species,550,Enterobacter cloacae,Bacteria,45,2.85091104793333,0.00266616,13.3870298248535,,D015212,D015212
D015179,species,562,Escherichia coli,Bacteria,1096,3.85563546876186,0.7137815,8.8132847277977,,D015179,D015179
D006262,species,571,Klebsiella oxytoca,Bacteria,261,2.45975762452107,0.03387,10.7552075113249,,D006262,D006262
D015212,species,573,Klebsiella pneumoniae,Bacteria,103,1.23883068470874,0.00990105,6.08486780997187,,D015212,D015212
D015179,species,582,Morganella morganii,Bacteria,69,0.957462180492754,0.02777,4.26829618758201,,D015179,D015179
D015212,species,584,Proteus mirabilis,Bacteria,62,0.841514410596774,0.002900505,4.87551233201279,,D015212,D015212
D015212,species,817,Bacteroides fragilis,Bacteria,200,1.5762656714,0.388031,4.93731673836269,,D015212,D015212
D003924,species,818,Bacteroides thetaiotaomicron,Bacteria,364,1.53045290882418,0.50679,3.78453810696422,,D003924,D003924
D015212,species,820,Bacteroides uniformis,Bacteria,280,5.68447594310714,2.882645,7.00050857750012,,D015212,D015212
D015212,species,821,Bacteroides vulgatus,Bacteria,268,4.39117911093284,1.42165,7.94681663886167,,D015212,D015212
D015212,species,823,Parabacteroides distasonis,Bacteria,224,1.0326190146875,0.279214,1.66918802491285,,D015212,D015212
D015179,species,849,Fusobacterium gonidiaformans,Bacteria,46,10.4361720247826,0.407135,18.0417587494002,,D015179,D015179
D009765,species,850,Fusobacterium mortiferum,Bacteria,32,2.7466853125,0.62851,5.01880110971958,,D009765,D009765
D015212,species,851,Fusobacterium nucleatum,Bacteria,90,0.896758482888889,0.0155509,4.04636086311004,,D015212,D015212
D015179,species,852,Fusobacterium perfoetens,Bacteria,44,1.06484663906818,0.005630415,4.18424236466423,,D015179,D015179
D015212,species,853,Faecalibacterium prausnitzii,Bacteria,235,8.739521828,8.31757,5.48742355175945,,D015212,D015212
D003924,species,861,Fusobacterium ulcerans,Bacteria,45,0.813394009177778,0.00819,3.22025798118469,,D003924,D003924
D009765,species,905,Acidaminococcus fermentans,Bacteria,26,0.500625,0.094125,1.43812338988072,,D009765,D009765
D003924,species,907,Megasphaera elsdenii,Bacteria,119,5.13118925361345,0.688852,9.36752051948329,,D003924,D003924
D015212,species,1254,Pediococcus acidilactici,Bacteria,60,0.67293449165,0.00570302,2.98880911980644,,D015212,D015212
D015179,species,1270,Micrococcus luteus,Bacteria,79,0.951632367250633,0.0134129,2.0303368118486,,D015179,D015179
D015179,species,1282,Staphylococcus epidermidis,Bacteria,132,0.942877226075758,0.02350765,2.11902225116004,,D015179,D015179
D015212,species,1304,Streptococcus salivarius,Bacteria,273,1.15655260025641,0.16571,3.1778640601501,,D015212,D015212
D009765,species,1308,Streptococcus thermophilus,Bacteria,147,0.959743605442177,0.07655,1.74382222637199,,D009765,D009765
D015212,species,1318,Streptococcus parasanguinis,Bacteria,152,1.04759776315789,0.0859,5.05574747619275,,D015212,D015212
D006262,species,1351,Enterococcus faecalis,Bacteria,480,2.74880277710417,0.08772,10.1638719472282,,D006262,D006262
D015179,species,1352,Enterococcus faecium,Bacteria,238,0.91878923810084,0.0161888,4.43404038684397,,D015179,D015179
D015179,species,1381,Atopobium minutum,Bacteria,30,1.37115502302667,0.031015,3.41894510845421,,D015179,D015179
D006262,species,1502,Clostridium perfringens,Bacteria,4767,1.16128352101888,0.0100669,7.24784335129042,,D006262,D006262
D015179,species,1531,[Clostridium] clostridioforme,Bacteria,208,0.795640127778846,0.047275,2.83690781562957,,D015179,D015179
D009765,species,1583,Weissella confusa,Bacteria,22,0.555604090909091,0.004715,1.52632458818612,,D009765,D009765
D009765,species,1584,Lactobacillus delbrueckii,Bacteria,55,1.70091290909091,0.61458,2.67652483709247,,D009765,D009765
D015212,species,1596,Lactobacillus gasseri,Bacteria,95,0.927496878178947,0.00366599,6.18436647866684,,D015212,D015212
D003924,species,1598,Lactobacillus reuteri,Bacteria,61,0.520162710573771,0.00386563,2.7171612416694,,D003924,D003924
D003924,species,1604,Lactobacillus amylovorus,Bacteria,47,1.24329253268085,0.00861719,4.1894759951926,,D003924,D003924
D003924,species,1623,Lactobacillus ruminis,Bacteria,101,1.89664239644554,0.122499,6.47974830374759,,D003924,D003924
D003924,species,1630,Kandleria vitulina,Bacteria,94,0.749675945053191,0.08559235,2.33434450930035,,D003924,D003924
D009765,species,1680,Bifidobacterium adolescentis,Bacteria,530,5.4367898490566,2.43961,7.37916886627592,,D009765,D009765
D015179,species,1681,Bifidobacterium bifidum,Bacteria,296,1.48564834179392,0.188525,3.982369981028,,D015179,D015179
D009765,species,1683,Bifidobacterium angulatum,Bacteria,81,2.25081530864198,2.15146,1.50384597139558,,D009765,D009765
D003924,species,1685,Bifidobacterium breve,Bacteria,131,1.63266561205344,0.0332005,6.81849008472863,,D003924,D003924
D006262,species,1686,Bifidobacterium catenulatum,Bacteria,5109,1.69557699258283,0.0634754,4.2799906913465,,D006262,D006262
D015212,species,1689,Bifidobacterium dentium,Bacteria,137,0.543383538613139,0.0678349,1.57387687124068,,D015212,D015212
D009765,species,1735,Holdemanella biformis,Bacteria,448,1.27452912946429,0.76741,2.14614512071995,,D009765,D009765
D015179,species,1747,Propionibacterium acnes,Bacteria,155,3.3650151802129,0.799029,5.5729257041135,,D015179,D015179
D006262,species,2111,Mycoplasma arthritidis,Bacteria,25,2.27936637556,0.002465,6.27733016630447,,D006262,D006262
D015212,species,2145,Spiroplasma taiwanense,Bacteria,16,0.6019477376875,0.0005195075,2.40010390199059,,D015212,D015212
D015179,species,2173,Methanobrevibacter smithii,Archaea,489,2.83808836799755,0.57811,5.8300980985276,,D015179,D015179
D006262,species,2724,Hirschia baltica,Bacteria,827,1.17263062943688,0.0189653,3.63603385388429,,D006262,D006262
D006262,species,28026,Bifidobacterium pseudocatenulatum,Bacteria,7066,1.34313821485437,0.1682235,4.04713750526483,,D006262,D006262
D015179,species,28111,Bacteroides eggerthii,Bacteria,701,1.94010580715835,0.0945805,5.24530014674838,,D015179,D015179
D006262,species,28116,Bacteroides ovatus,Bacteria,11406,2.30596468727038,0.739456,4.34941351084713,,D006262,D006262
D006262,species,28117,Alistipes putredinis,Bacteria,10270,2.8647612366297,1.219475,4.1633218715015,,D006262,D006262
D015212,species,28118,Odoribacter splanchnicus,Bacteria,168,1.05776486303571,0.54837,1.94957034015666,,D015212,D015212
D015179,species,28123,Porphyromonas asaccharolytica,Bacteria,301,1.11991923901993,0.24245,2.93690292190075,,D015179,D015179
D015179,species,28124,Porphyromonas endodontalis,Bacteria,107,0.987625176246729,0.00786488,3.97214416704405,,D015179,D015179
D015212,species,28126,Prevotella buccae,Bacteria,56,0.652947114517857,0.00125217,4.33996960829351,,D015212,D015212
D015179,species,28131,Prevotella intermedia,Bacteria,129,1.8488495221938,0.26603,4.10594921842317,,D015179,D015179
D015179,species,28133,Prevotella nigrescens,Bacteria,113,3.09712559681416,0.04648,6.53393369920164,,D015179,D015179
D015212,species,28135,Prevotella oris,Bacteria,91,1.07035537449451,0.00855395,6.94898717977865,,D015212,D015212
D015212,species,28137,Prevotella veroralis,Bacteria,47,0.926566901340426,0.00428725,5.1445867953628,,D015212,D015212
D015212,species,29348,[Clostridium] spiroforme,Bacteria,133,0.54297894518797,0.305201,0.883594304835111,,D015212,D015212
D009765,species,29361,Tyzzerella nexilis,Bacteria,85,1.23077670588235,0.07508,3.01711191366543,,D009765,D009765
D015179,species,29385,Staphylococcus saprophyticus,Bacteria,83,0.976290784060241,0.0143015,2.24969780293748,,D015179,D015179
D015212,species,29466,Veillonella parvula,Bacteria,212,0.712589792698113,0.0449808,3.35215748585852,,D015212,D015212
D015212,species,33038,[Ruminococcus] gnavus,Bacteria,274,1.38853605514599,0.19234,3.96374724126529,,D015212,D015212
D015179,species,33039,[Ruminococcus] torques,Bacteria,1195,2.13216596653557,1.15657,2.85210280364193,,D015179,D015179
D015179,species,33043,Coprococcus eutactus,Bacteria,198,1.37572860198485,0.03427705,4.11319739845556,,D015179,D015179
D006262,species,33970,Melissococcus plutonius,Bacteria,56,11.3193013178571,4.919655,16.8840524192353,,D006262,D006262
D015179,species,34059,Moraxella atlantae,Bacteria,32,0.90353424278125,0.007111165,3.43012030354832,,D015179,D015179
D006262,species,35701,Heliobacterium modesticaldum,Bacteria,819,1.42933386971758,0.00972337,6.79005929054865,,D006262,D006262
D015212,species,37734,Enterococcus casseliflavus,Bacteria,96,0.525579209072917,0.005987555,3.27216543528898,,D015212,D015212
D015179,species,37915,Dietzia maris,Bacteria,13,0.856872629769231,0.00575374,2.840686619773,,D015179,D015179
D006262,species,38284,Corynebacterium accolens,Bacteria,647,1.46955632704637,0.00370837,7.32413552935885,,D006262,D006262
D015179,species,38304,Corynebacterium tuberculostearicum,Bacteria,112,1.35267199151786,0.04405105,2.81137113912751,,D015179,D015179
D015179,species,39483,Faecalitalea cylindroides,Bacteria,171,1.38908320273099,0.06777,3.86178218355252,,D015179,D015179
