taxon_id,disease,p_value,auc_effect,effect_direction
28124,D015179,4.3057856758185787e-07,0.12693333333333334,increased
411489,D015179,5.909116531994464e-05,0.10085555555555559,increased
1584,D015179,0.00011125334558505383,0.09704444444444449,increased
97478,D015179,0.00023760990335644245,0.09228888888888886,increased
1226325,D015179,0.0011701850074496267,0.08151111111111109,increased
88431,D015179,0.0014190931585610553,0.0801222222222222,increased
83771,D015179,0.0024806375579034846,0.0759777777777777,increased
426421,D015179,0.0026336143979388956,0.07552222222222227,increased
1686,D015179,0.004678916681697104,0.07102222222222221,increased
37734,D015179,0.005591471197544597,0.06957777777777774,increased
437898,D015179,0.006841730721925782,0.06791111111111114,increased
