phenotype	taxonomy rank level	NCBI taxon id	scientific name	super kingdom	Nr. runs in which the species/genus can be found	mean relative abundance	median relative abundance	SD of relative abundance	
D015179	species	820	Bacteroides uniformis	Bacteria	1449	4.30795387747826	2.15535	5.55542389669495	
D015179	species	853	Faecalibacterium prausnitzii	Bacteria	1394	5.61330387710904	3.21763	6.97851378201939	
D015179	species	40520	Blautia obeum	Bacteria	1382	0.691434179855282	0.29129	1.01832731432494	
D015179	species	821	Bacteroides vulgatus	Bacteria	1381	4.09577425762491	1.90268	5.49504973806537	
D015179	species	28116	Bacteroides ovatus	Bacteria	1281	1.19705197238876	0.4134	2.3806428445245	
D015179	species	818	Bacteroides thetaiotaomicron	Bacteria	1265	1.16736994241897	0.45618	2.13295601384198	
D015179	species	357276	Bacteroides dorei	Bacteria	1261	2.28320113062807	0.439252	5.20444547992565	
D015179	species	39491	[Eubacterium] rectale	Bacteria	1260	3.65466795489048	0.47709	6.13601654525286	
D015179	species	28117	Alistipes putredinis	Bacteria	1234	2.76970840446029	1.714895	3.47223885525535	
D015179	species	823	Parabacteroides distasonis	Bacteria	1197	0.66156603147452	0.219266	2.17764154483856	
D015179	species	33039	[Ruminococcus] torques	Bacteria	1195	2.13216596653557	1.15657	2.85210280364193	
D015179	species	39488	[Eubacterium] hallii	Bacteria	1160	0.633591539341379	0.114655	1.44407785342642	
D015179	species	410072	Coprococcus comes	Bacteria	1153	0.673592622811795	0.32683	0.937308529330065	
D015179	species	88431	Dorea longicatena	Bacteria	1151	0.893832332418766	0.208816	1.71564485516843	
D015179	species	46503	Parabacteroides merdae	Bacteria	1147	1.39296693319704	0.84405	1.60516893695323	
D015179	species	74426	Collinsella aerofaciens	Bacteria	1147	1.03683180259895	0.4422	1.40894487318976	
D015179	species	360807	Roseburia inulinivorans	Bacteria	1135	1.10621022342731	0.36211	2.15278250615793	
D015179	species	328814	Alistipes shahii	Bacteria	1131	0.611246763833775	0.285015	0.912205040064392	
D015179	species	40518	Ruminococcus bromii	Bacteria	1110	3.91975045094234	1.158985	5.89532298418053	
D015179	species	328813	Alistipes onderdonkii	Bacteria	1098	1.52233368236521	0.35802	3.40980540218335	
D015179	species	562	Escherichia coli	Bacteria	1096	3.85563546876186	0.7137815	8.8132847277977	
D015179	species	47678	Bacteroides caccae	Bacteria	1083	1.40522249679409	0.69949	2.81460805549411	
D015179	species	39486	Dorea formicigenerans	Bacteria	1080	0.4935417657	0.252525	0.777828218090197	
D015179	species	39485	[Eubacterium] eligens	Bacteria	1062	1.13240068294444	0.44178	1.87630027970418	
D015179	species	817	Bacteroides fragilis	Bacteria	1054	1.2673145626945	0.287939	3.16004374511933	
D015179	species	371601	Bacteroides xylanisolvens	Bacteria	1047	0.915968110200573	0.171467	2.70979736444551	
