feature,rank
Veillonella dispar,1
Unknown,2
Dorea longicatena,3
Bacteroides vulgatus,4
[Eubacterium] hallii,5
Lachnospiraceae bacterium 7_1_58FAA,6
Bacteroides thetaiotaomicron,7
Streptococcus salivarius,8
Blautia obeum,9
Prevotella copri,10
[Ruminococcus] torques,11
Bifidobacterium longum,12
Bacteroides uniformis,13
Veillonella parvula,14
Roseburia inulinivorans,15
Coprococcus comes,16
Parabacteroides distasonis,17
[Eubacterium] rectale,18
Lachnospiraceae bacterium 5_1_63FAA,19
Haemophilus parainfluenzae,20
Escherichia coli,21
Collinsella aerofaciens,22
Streptococcus parasanguinis,23
Dorea formicigenerans,24
Bacteroides ovatus,25
Lachnospiraceae bacterium 3_1_46FAA,26
Faecalibacterium prausnitzii,27
Flavonifractor plautii,28
Alistipes putredinis,29
Ruminococcus bromii,30
[Eubacterium] eligens,31
Bacteroides plebeius,32
Eubacterium ramulus,33
Bacteroides xylanisolvens,34
Bacteroides fragilis,35
Veillonella atypica,36
Bacteroides stercoris,37
Ruminococcus sp. 5_1_39BFAA,38
[Clostridium] bolteae,39
Bacteroides caccae,40
Roseburia hominis,41
Anaerostipes hadrus,42
Parabacteroides merdae,43
Coprococcus catus,44
Lachnospiraceae bacterium 1_1_57FAA,45
[Ruminococcus] gnavus,46
Roseburia intestinalis,47
Eubacterium ventriosum,48
[Clostridium] symbiosum,49
Alistipes onderdonkii,50
Adlercreutzia equolifaciens,51
Streptococcus thermophilus,52
Bacteroides massiliensis,53
Alistipes shahii,54
[Clostridium] leptum,55
Bifidobacterium pseudocatenulatum,56
Hungatella hathewayi,57
Bilophila wadsworthia,58
Dialister invisus,59
Bacteroides coprocola,60
Parasutterella excrementihominis,61
Bifidobacterium adolescentis,62
[Clostridium] asparagiforme,63
Alistipes finegoldii,64
Gordonibacter pamelaeae,65
Burkholderiales bacterium 1_1_47,66
Lachnospiraceae bacterium 2_1_58FAA,67
Holdemania filiformis,68
Alistipes obesi,69
Streptococcus anginosus,70
Klebsiella pneumoniae,71
[Clostridium] citroniae,72
Alistipes indistinctus,73
Eggerthella lenta,74
Clostridiales bacterium 1_7_47FAA,75
Bacteroides faecis,76
Barnesiella intestinihominis,77
Bacteroides finegoldii,78
Ruminococcus callidus,79
Streptococcus mitis,80
Tyzzerella nexilis,81
Odoribacter splanchnicus,82
Lachnospiraceae bacterium 8_1_57FAA,83
Streptococcus australis,84
Bacteroides eggerthii,85
Erysipelotrichaceae bacterium 6_1_45,86
Lachnospiraceae bacterium 1_4_56FAA,87
Streptococcus vestibularis,88
Anaerotruncus colihominis,89
Ruminococcaceae bacterium D16,90
Erysipelotrichaceae bacterium 2_2_44A,91
Lachnospiraceae bacterium 3_1_57FAA_CT1,92
Alistipes senegalensis,93
Erysipelatoclostridium ramosum,94
Bacteroides intestinalis,95
Lactobacillus salivarius,96
[Clostridium] clostridioforme,97
Bacteroides nordii,98
Holdemanella biformis,99
Streptococcus infantis,100
Erysipelotrichaceae bacterium 21_3,101
Rothia mucilaginosa,102
Streptococcus sanguinis,103
[Clostridium] innocuum,104
Enterobacter cloacae,105
Parabacteroides goldsteinii,106
Clostridiaceae bacterium JC118,107
Paraprevotella clara,108
Blautia producta,109
Fusobacterium nucleatum,110
Bacteroides salyersiae,111
Sutterella wadsworthensis,112
Prevotella stercorea,113
Lactococcus lactis,114
