phenotype	taxonomy rank level	NCBI taxon id 1	NCBI taxon id 2	pvalue Pearson	correlation coefficient Pearson	pvalue Spearman	correlation coefficient Spearman	nr. co-occurred samples	nr. samples of taxon1 only	nr. samples of taxon2 only	nr. samples of none	Odds ratio (OR) Fisher test	pvalue Fisher test	OR confidence lower	OR confidence upper	scientific name taxon1	scientific name taxon2
D015179	species	300	1261	0.03853420027969	-0.282420530818615	3.05205151334054e-08	-0.669778538736128	3	25	26	1202	5.52981662602815	0.0246035101805121	1.00642607235292	19.953413428404	Pseudomonas mendocina	Peptostreptococcus anaerobius	
D015179	species	300	29361	0.0239308974374519	-0.332570947984966	0.00399672751066254	-0.416398405398404	13	15	18	1210	57.203021887172	2.15585606781478e-15	21.7703848499402	151.317352155716	Pseudomonas mendocina	Tyzzerella nexilis	
D015179	species	300	39486	0.0411235438594839	-0.0894234908718707	2.95256907417682e-05	-0.1817374465044	18	10	494	734	2.67237099416734	0.0179151152997055	1.15818557556623	6.53704252557354	Pseudomonas mendocina	Dorea formicigenerans	
D015179	species	300	53443	4.82166822779812e-05	-0.492289529880331	1.49170603313546e-14	-0.793365750258303	4	24	34	1194	5.83531561713508	0.00866149827461826	1.39537205103124	18.3528634422109	Pseudomonas mendocina	Blautia hydrogenotrophica	
D015179	species	300	214856	0.0482023490590403	-0.106291439460754	0.000434434206285549	-0.188130465134799	17	11	318	910	4.41598852111653	0.000131617504126575	1.92746560702967	10.5507817006644	Pseudomonas mendocina	Alistipes finegoldii	
D015179	species	300	281920	0.0465780247582695	-0.280011705682278	8.88667793375581e-08	-0.667343779240367	3	25	23	1205	6.26493009914987	0.0183076996303633	1.13168476182383	22.8866239509225	Pseudomonas mendocina	Porphyromonas uenonis	
D015179	species	300	338188	0.0407470755242494	-0.171943221916955	2.31066595597119e-10	-0.500264425170844	8	20	114	1114	3.90142566024986	0.00369466357868697	1.45253604662685	9.50926848154113	Pseudomonas mendocina	Bacteroides finegoldii	
D015179	species	300	457412	5.85068173147122e-05	-0.314080094053906	1.02924207792611e-10	-0.485308553856381	12	16	130	1098	6.31766434139977	1.70982705527125e-05	2.66502421481336	14.5887392079976	Pseudomonas mendocina	Ruminococcus sp. 5_1_39BFAA	
D015179	species	300	552398	3.53150796019104e-05	-0.43511343291765	2.59698771763934e-16	-0.748866292937912	6	22	56	1172	5.69126310901248	0.00181962823576276	1.81472734219336	15.2340741623151	Pseudomonas mendocina	Ruminococcaceae bacterium D16	
D015179	species	300	665950	0.00343432832446947	-0.193430934986922	2.59213464515368e-07	-0.333861539964614	15	13	199	1029	5.95359414405601	8.77704935603262e-06	2.59780623905294	13.8271176585548	Pseudomonas mendocina	Lachnospiraceae bacterium 3_1_46FAA	
D015179	species	300	674529	0.0209817015815311	-0.225064136706811	2.35790188428987e-08	-0.512070610393484	7	21	77	1151	4.97063429016466	0.0017453156478486	1.730083278027	12.6183094094533	Pseudomonas mendocina	Bacteroides faecis	
D015179	species	305	573	0.0372927444829566	-0.190359909899854	6.99363724636263e-23	-0.749549915606335	10	67	43	1136	3.93594009829333	0.000943621690954122	1.68828300479904	8.40380408211428	Ralstonia solanacearum	Klebsiella pneumoniae	
D015179	species	305	860	0.0133907956815496	0.258414625155201	2.59976793331282e-06	-0.469975766274507	9	68	14	1165	10.9607268287385	3.12613000766108e-06	4.03269345310945	28.3397563901555	Ralstonia solanacearum	Fusobacterium periodonticum	
D015179	species	305	1630	1.61630841697164e-06	0.46264951788557	0.000126551751393197	-0.377606637167714	16	61	21	1158	14.381043425401	3.8820274756263e-11	6.65813596748304	30.6032487087645	Ralstonia solanacearum	Kandleria vitulina	
D015179	species	305	28123	0.00830302105225406	-0.196731399882432	1.02443486958214e-19	-0.611202564258974	16	61	102	1077	2.76633317786453	0.00170839230250288	1.43429766847139	5.07913079598983	Ralstonia solanacearum	Porphyromonas asaccharolytica	
D015179	species	305	28133	0.0264038120319244	-0.223152834653103	4.58906342915033e-09	-0.547268346234927	10	67	22	1157	7.81901265900602	9.01615937227406e-06	3.17278870002662	18.0634549147957	Ralstonia solanacearum	Prevotella nigrescens	
